0.115	0.126	-0.916
0.132	0.112	-0.805
0.152	0.101	-0.706
0.175	0.091	-0.621
0.201	0.084	-0.546
0.231	0.076	-0.483
0.266	0.069	-0.424
0.305	0.064	-0.373
0.351	0.058	-0.328
0.404	0.0537	-0.289
0.464	0.0493	-0.255
0.534	0.0456	-0.224
0.614	0.0418	-0.198
0.705	0.0394	-0.174
0.811	0.0365	-0.154
0.933	0.034	-0.136
1.07	0.0315	-0.121
1.23	0.0294	-0.107
1.42	0.0273	-0.0952
1.63	0.0253	-0.0845
1.87	0.0236	-0.0752
2.15	0.0219	-0.0669
2.48	0.0205	-0.0597
2.85	0.019	-0.0533
3.27	0.0176	-0.0476
3.76	0.0163	-0.0425
4.33	0.0152	-0.0381
4.98	0.0141	-0.0341
5.72	0.013	-0.0305
6.58	0.0121	-0.0273
7.56	0.0113	-0.0245
8.7	0.0105	-0.0219
10	0.0098	-0.0197
11.5	0.0092	-0.0177
13.2	0.0086	-0.0158
15.2	0.0081	-0.0142
17.5	0.0077	-0.0128
20.1	0.0073	-0.0115
23.1	0.0069	-0.0104
26.6	0.0066	-0.00943
30.5	0.0063	-0.00851
35.1	0.006	-0.00768
40.4	0.0058	-0.00697
46.4	0.0055	-0.00632
53.4	0.0052	-0.00574
61.4	0.005	-0.00521
70.5	0.0048	-0.00476
81.1	0.0046	-0.00434
93.3	0.0044	-0.00397
107	0.0042	-0.00364
123	0.004	-0.00334
142	0.0039	-0.00307
163	0.0037	-0.00282
187	0.0036	-0.00261
215	0.0034	-0.0024
248	0.0033	-0.00222
285	0.0032	-0.00206
327	0.0031	-0.00192
376	0.003	-0.00179
433	0.0029	-0.00168
498	0.0028	-0.00156
572	0.0027	-0.00147
658	0.0024	-0.00139
756	0.0023	-0.0013
870	0.0022	-0.00121
1000	0.0021	-0.00113
1150	0.002	-0.00108
1320	0.0019	-0.00101
1520	0.0014	-8.91E-4
1750	0.0013	-8.17E-4
2010	0.0012	-7.67E-4
2310	0.0011	-6.85E-4
2660	1E-3	-5.93E-4
3050	9E-4	-4.88E-4
3510	-1E-4	-1.15E-4
4040	0	-7.66E-5
