0.1	0.055	-0.0115
0.115	0.054	-0.011
0.132	0.053	-0.0108
0.152	0.052	-0.0104
0.175	0.051	-0.00992
0.201	0.05	-0.00944
0.231	0.05	-0.00903
0.266	0.049	-0.00894
0.305	0.049	-0.00905
0.351	0.049	-0.00975
0.404	0.047	-0.00848
0.464	0.047	-0.00879
0.534	0.046	-0.00921
0.614	0.046	-0.00958
0.705	0.045	-0.0101
0.811	0.045	-0.0109
0.933	0.044	-0.0115
1.07	0.043	-0.0124
1.23	0.041	-0.0133
1.42	0.04	-0.014
1.63	0.0386	-0.0146
1.87	0.037	-0.0152
2.15	0.0352	-0.0157
2.48	0.0335	-0.0161
2.85	0.0315	-0.0163
3.27	0.0297	-0.0163
3.76	0.0277	-0.0162
4.33	0.026	-0.016
4.98	0.0242	-0.0156
5.72	0.0226	-0.0152
6.58	0.021	-0.0148
7.56	0.0196	-0.0142
8.7	0.0182	-0.0137
10	0.017	-0.0131
11.5	0.0158	-0.0125
13.2	0.0148	-0.0119
15.2	0.0139	-0.0112
17.5	0.013	-0.0106
20.1	0.0121	-0.00993
23.1	0.0113	-0.00927
26.6	0.0106	-0.00859
30.5	0.0099	-0.00797
35.1	0.0093	-0.00739
40.4	0.0087	-0.00682
46.4	0.0083	-0.00629
53.4	0.0078	-0.00579
61.4	0.0075	-0.00534
70.5	0.0071	-0.00492
81.1	0.0068	-0.00454
93.3	0.0065	-0.00421
107	0.0063	-0.00388
123	0.006	-0.00359
142	0.0058	-0.00333
163	0.0056	-0.0031
187	0.0054	-0.00289
215	0.0052	-0.00269
248	0.0051	-0.00251
285	0.0049	-0.00235
327	0.0048	-0.00221
376	0.0046	-0.00208
433	0.0045	-0.00197
498	0.0044	-0.00186
572	0.0042	-0.00176
658	0.0041	-0.00168
756	0.004	-0.00159
870	0.0038	-0.00152
1000	0.0037	-0.00146
1150	0.0036	-0.00139
1320	0.0035	-0.00134
1520	0.0033	-0.00128
1750	0.0032	-0.00122
2010	0.0031	-0.00116
2310	0.003	-0.00111
2660	0.0029	-0.00105
3050	0.0027	-1E-3
3510	0.0026	-9.23E-4
4040	0.0025	-8.89E-4
4640	0.0024	-8.29E-4
5340	0.0023	-7.62E-4
6140	0.0023	-6.84E-4
7050	0.0021	-6.24E-4
8110	0.0021	-5.33E-4
9330	0.002	-4.6E-4
10700	0.0017	-3.43E-4
12300	0.0016	-2.08E-4
14200	0.0015	-1.42E-4
16300	0.0013	1.04E-5
18700	9E-4	1.06E-4
21500	8E-4	-2.89E-5
24800	5E-4	-1.04E-4
