0.1	0.7217	-2.25396
0.11498	0.66161	-2.00409
0.13219	0.60353	-1.78358
0.15199	0.55564	-1.58919
0.17475	0.51298	-1.4202
0.20092	0.47112	-1.26788
0.23101	0.43261	-1.13308
0.2656	0.39838	-1.01204
0.30539	0.3668	-0.90531
0.35112	0.33956	-0.81096
0.40369	0.31386	-0.72723
0.46416	0.28917	-0.65143
0.53366	0.26716	-0.58395
0.61358	0.24654	-0.52504
0.70548	0.22934	-0.47264
0.81112	0.21241	-0.42646
0.9326	0.19753	-0.38413
1.0723	0.18371	-0.3465
1.23281	0.17068	-0.31308
1.41753	0.15822	-0.28269
1.62981	0.14723	-0.25589
1.87382	0.13695	-0.23099
2.15438	0.12736	-0.20932
2.47709	0.11842	-0.18984
2.84798	0.11022	-0.17205
3.27447	0.10281	-0.15626
3.76487	0.09575	-0.14188
4.32879	0.08975	-0.12898
4.97699	0.08376	-0.11707
5.7224	0.07854	-0.10642
6.57921	0.07363	-0.09666
7.56455	0.06915	-0.0879
8.69716	0.06493	-0.07987
9.99984	0.06117	-0.07271
11.49764	0.05761	-0.06615
13.21873	0.05433	-0.06013
15.19872	0.05137	-0.05472
17.47441	0.0486	-0.04986
20.09142	0.0461	-0.04544
23.10053	0.04387	-0.0415
26.56039	0.04174	-0.03794
30.539	0.03981	-0.03475
35.11179	0.03808	-0.03187
40.37004	0.03635	-0.02927
46.41525	0.0348	-0.02703
53.36665	0.03335	-0.02501
61.35739	0.0319	-0.02324
70.54769	0.03061	-0.0216
81.11261	0.02932	-0.02012
93.25892	0.0281	-0.01885
107.22876	0.02693	-0.01773
123.27731	0.02576	-0.0167
141.7473	0.02466	-0.01578
162.97773	0.02355	-0.01494
187.37838	0.02251	-0.01422
215.43726	0.0215	-0.01354
247.70945	0.02049	-0.01293
284.79844	0.01951	-0.01239
327.44557	0.01854	-0.01188
376.48529	0.01761	-0.01142
432.87873	0.01667	-0.01099
497.69878	0.01576	-0.01058
572.23439	0.01486	-0.01021
657.93097	0.01386	-0.00982
756.45745	0.01301	-0.00949
869.75098	0.01215	-0.00915
999.98713	0.0113	-0.00881
1149.8034	0.01043	-0.00846
1321.91181	0.00964	-0.00813
1519.91844	0.00883	-0.00779
1747.51878	0.00791	-0.00739
2009.15337	0.00715	-0.007
2310.03761	0.00639	-0.0066
2656.04258	0.00566	-0.00622
3053.84398	0.00496	-0.00573
3511.13081	0.00409	-0.00521
4036.90338	0.0034	-0.00463
4641.5329	0.00271	-0.00407
5336.64227	0.00208	-0.00342
6135.82134	0.00148	-0.00272
7054.68655	0.00083586	-0.00193
8111.23848	0.000368219	-0.00117
9325.98114	4.18477E-06	-0.000203569
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
