0.1	0.1343	-0.884
0.112	0.1203	-0.793
0.126	0.1153	-0.708
0.142	0.1073	-0.637
0.159	0.1013	-0.574
0.179	0.0963	-0.514
0.201	0.0893	-0.464
0.226	0.0853	-0.418
0.254	0.0803	-0.376
0.285	0.0763	-0.339
0.32	0.0723	-0.305
0.359	0.0673	-0.275
0.404	0.0643	-0.248
0.453	0.0603	-0.224
0.509	0.057	-0.203
0.572	0.0541	-0.183
0.643	0.0513	-0.166
0.722	0.0487	-0.15
0.811	0.0461	-0.136
0.911	0.0438	-0.123
1.02	0.0412	-0.112
1.15	0.0389	-0.102
1.29	0.0369	-0.0922
1.45	0.035	-0.0837
1.63	0.0332	-0.0762
1.83	0.0315	-0.0692
2.06	0.0299	-0.0629
2.31	0.0284	-0.0573
2.6	0.0272	-0.0521
2.92	0.026	-0.0475
3.27	0.0248	-0.0433
3.68	0.0236	-0.0394
4.13	0.0226	-0.036
4.64	0.0217	-0.0328
5.21	0.0208	-0.03
5.86	0.02	-0.0274
6.58	0.0193	-0.0251
7.39	0.0186	-0.023
8.3	0.0179	-0.0211
9.33	0.0173	-0.0194
10.5	0.0167	-0.0178
11.8	0.0162	-0.0164
13.2	0.0157	-0.0152
14.9	0.0152	-0.014
16.7	0.0147	-0.013
18.7	0.0143	-0.0121
21	0.0138	-0.0112
23.6	0.0134	-0.0104
26.6	0.013	-0.00982
29.8	0.0126	-0.00919
33.5	0.0123	-0.00861
37.7	0.0119	-0.00808
42.3	0.0116	-0.00762
47.5	0.0112	-0.00718
53.4	0.0109	-0.00679
59.9	0.0106	-0.00639
67.3	0.0102	-0.00609
75.6	0.0099	-0.00579
85	0.0096	-0.00551
95.5	0.0093	-0.00525
107	0.009	-0.00502
120	0.0087	-0.0048
135	0.0085	-0.00459
152	0.0082	-0.00441
171	0.0079	-0.00423
192	0.0077	-0.00407
215	0.0074	-0.00391
242	0.0072	-0.00377
272	0.007	-0.00364
305	0.0067	-0.00351
343	0.0065	-0.0034
385	0.0063	-0.00329
433	0.006	-0.00319
486	0.0058	-0.00309
546	0.0056	-0.003
614	0.0054	-0.00292
689	0.005	-0.00282
774	0.0048	-0.00274
870	0.0046	-0.00267
977	0.0045	-0.00259
1100	0.0042	-0.00254
1230	0.004	-0.00245
1380	0.0039	-0.00239
1560	0.0032	-0.00227
1750	0.003	-0.00219
1960	0.0029	-0.00214
2210	0.0027	-0.00204
2480	0.0024	-0.00196
2780	0.0022	-0.00187
3130	0.0011	-0.00165
3510	0.001	-0.0014
3940	0.001	-0.00142
4430	0.0008	-0.00122
4980	0.0006	-0.000984
5590	0.0003	-0.000782
7050	0.0002	-0.000334
		
		
		
		
		
		
		
