0.49999	0.05693	-0.18923
0.5656	0.05628	-0.17047
0.63982	0.05428	-0.15371
0.72378	0.05156	-0.1383
0.81875	0.04911	-0.12461
0.92619	0.04666	-0.11247
1.04771	0.04429	-0.10154
1.18522	0.04203	-0.09181
1.34073	0.03995	-0.08318
1.51663	0.03796	-0.07535
1.71564	0.03585	-0.06839
1.94076	0.03396	-0.06215
2.19536	0.03216	-0.05657
2.48349	0.03043	-0.05155
2.80939	0.02884	-0.04706
3.17796	0.02733	-0.04297
3.59496	0.02585	-0.03934
4.06674	0.02446	-0.03603
4.60038	0.02314	-0.03305
5.20388	0.02188	-0.03035
5.88689	0.02068	-0.02791
6.65919	0.01953	-0.02572
7.53312	0.01841	-0.0237
8.52137	0.01736	-0.02189
9.63965	0.01636	-0.02024
10.9046	0.01526	-0.01865
12.3356	0.01437	-0.01729
13.9538	0.01349	-0.01603
15.7845	0.01267	-0.01488
17.8567	0.0119	-0.01381
20.1995	0.01114	-0.01284
22.8495	0.01042	-0.01194
25.8475	0.00978	-0.01112
29.2393	0.00915	-0.01036
33.0769	0.00856	-0.00964
37.4168	0.008	-0.00898
42.3267	0.00748	-0.00836
47.8802	0.007	-0.00777
54.1639	0.00653	-0.00724
61.2698	0.00608	-0.00675
69.3109	0.00566	-0.00629
78.4043	0.00528	-0.00586
88.6936	0.00491	-0.00547
100.33	0.00456	-0.00511
113.5	0.00423	-0.00475
128.388	0.00393	-0.00444
145.238	0.00364	-0.00413
164.289	0.00338	-0.00386
185.847	0.00314	-0.0036
210.24	0.00292	-0.00336
237.83	0.00272	-0.00314
269.026	0.00252	-0.00293
304.326	0.00234	-0.00273
344.269	0.00217	-0.00255
389.434	0.00202	-0.00239
440.538	0.00193	-0.00223
498.34	0.0018	-0.00208
563.741	0.00167	-0.00195
637.71	0.00155	-0.00182
721.38	0.00144	-0.0017
816.047	0.00133	-0.00158
923.127	0.00124	-0.00147
1044.3	0.00112	-0.00135
1181.3	0.00104	-0.00126
1336.31	0.0009545	-0.00117
1511.6	0.0008723	-0.00107
1710	0.0008018	-0.000976761
1934.41	0.0007567	-0.000912349
2188.15	0.000602	-0.000794638
2475.26	0.0005169	-0.000707891
2800.05	0.0004563	-0.000623027
3167.45	0.0003667	-0.000528898
3583.01	0.0003523	-0.000443726
4053.24	0.0002811	-0.000351173
4585.15	0.000093	-0.000183801
5186.8	0.0000459	-0.000077599
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
